algo,input,mode,threads,n_runs,time_sec_mean,time_sec_std,time_cv,speedup,efficiency,ipc_mean,ipc_std,cpi_mean,cpi_std,branch_miss_rate_mean,cache_miss_rate_mean,instructions_mean,instructions_std,cycles_mean,cycles_std,branch_miss_rate_std,cache_miss_rate_std,stalled_be_ratio_mean,stalled_be_ratio_std,L1_dcache_load_misses_mean,L1_dcache_load_misses_std,LLC_load_misses_mean,LLC_load_misses_std,dTLB_load_misses_mean,dTLB_load_misses_std,iTLB_load_misses_mean,iTLB_load_misses_std,energy_pkg_joules_mean,energy_pkg_joules_std,energy_ram_joules_mean,energy_ram_joules_std,energy_total_joules_mean,energy_total_joules_std,power_watts_mean,power_watts_std,edp_mean,edp_std,ed2p_mean,ed2p_std,bottleneck
bitonicsort,5000,parallel,2,1,0.00335403,,,1.2291784808126343,0.6145892404063171,1.2260746369350786,,0.8156110320492264,,0.038574791204379746,0.2505524372230428,9361162.0,,7635067.0,,,,0.0,,24347.0,,1106.0,,638.0,,671.0,,0.08,,0.0,,0.08,,23.85190353097617,,0.0002683224,,8.99961379272e-07,,"Memory/cache, TLB"
bitonicsort,5000,parallel,4,1,0.0084315,,,0.4889641819367847,0.12224104548419618,0.19079063570381724,,5.241347387470299,,0.03526987353383257,0.1933000876180182,11374397.0,,59617166.0,,,,0.0,,35135.0,,2267.0,,764.0,,730.0,,0.06,,0.0,,0.06,,7.116171499733143,,0.0005058899999999999,,4.265411534999999e-06,,"ILP/pipeline, Memory/cache, TLB"
bitonicsort,5000,parallel,8,1,0.1789180415,,,0.02304240235046391,0.002880300293807989,0.04079263342529035,,24.51423004674237,,0.0022525311072411017,0.24547107625866577,151042617.0,,3702693460.0,,,,0.0,,58909.0,,3463.0,,2153.0,,1205.0,,0.06,,0.01,,0.06999999999999999,,0.3912405893398961,,0.012524262905,,0.002240816590193701,,"ILP/pipeline, Memory/cache, TLB"
bitonicsort,5000,serial,1,1,0.0041227015,,,1.0,1.0,1.4126224094294033,,0.7079032537816863,,0.041259000923499954,0.3911046832366667,9213218.0,,6522067.0,,,,0.0,,18445.0,,1258.0,,620.0,,592.0,,0.13,,0.01,,0.14,,33.9583159246431,,0.00057717821,,2.3795334721343154e-06,,"Memory/cache, TLB"
bitonicsort,10000,parallel,2,1,0.004690647500000001,,,2.2197148687894366,1.1098574343947183,1.6089819343894651,,0.6215110180086976,,0.03377910373627446,0.15322943971166447,20334119.0,,12637879.0,,,,0.0,,83061.0,,1139.0,,621.0,,664.0,,0.1,,0.0,,0.1,,21.31901832316327,,0.0004690647500000001,,2.200217396925626e-06,,"Memory/cache, TLB"
bitonicsort,10000,parallel,4,1,0.0059520275,,,1.7493030736165114,0.43732576840412785,0.4201101368277058,,2.380328186201602,,0.03146207723440051,0.12264127642758348,21727117.0,,51717669.0,,,,0.0,,59960.0,,1286.0,,754.0,,712.0,,0.49,,0.03,,0.52,,87.36518774484828,,0.0030950543,,1.842184830759325e-05,,"ILP/pipeline, Memory/cache, TLB"
bitonicsort,10000,parallel,8,1,0.007916378,,,1.3152353260544154,0.16440441575680192,0.8448082525324262,,1.1837005580880227,,0.03794060184438227,0.07454894180621122,20711249.0,,24515917.0,,,,0.0,,59038.0,,1148.0,,936.0,,868.0,,0.32,,0.03,,0.35,,44.212138429973905,,0.0027707323,,2.19341642236094e-05,,"ILP/pipeline, Memory/cache, TLB"
bitonicsort,10000,serial,1,1,0.0104119,,,1.0,1.0,1.3766180657328757,,0.7264178967952348,,0.030067536362599092,0.3605544615622225,20137326.0,,14628114.0,,,,0.0,,126965.0,,989.0,,560.0,,605.0,,0.16,,0.01,,0.17,,16.32747145093595,,0.0017700230000000001,,1.84293024737e-05,,"Memory/cache, TLB"
bitonicsort,50000,parallel,2,1,0.01046416,,,1.4296988004770568,0.7148494002385284,1.7549251890994129,,0.5698248598922766,,0.026515972993414787,0.06334423940096859,101999195.0,,58121677.0,,,,0.0,,609631.0,,1188.0,,740.0,,679.0,,0.49,,0.02,,0.51,,48.7377868839926,,0.0053367216,,5.5844308697856004e-05,,"Memory/cache, TLB"
bitonicsort,50000,parallel,4,1,0.063288686,,,0.23638659522809496,0.05909664880702374,1.4262482125507578,,0.7011402301507962,,0.027898361897760893,0.061861912699239505,102529213.0,,71887356.0,,,,0.0,,622579.0,,3662.0,,1204.0,,821.0,,0.37,,0.03,,0.4,,6.32024498027973,,0.0253154744,,0.0016021831102426382,,"Memory/cache, TLB"
